"AGE","ESPAC","ESPECIE","B4_mean","B4_max","B4_min","B4_sd","NDVI_mean","NDVI_max","NDVI_min","NDVI_sd","MSR_mean","MSR_max","MSR_min","MSR_sd"
-1,"5X1.5","DUNNI",167.685656401945,625,100,37.8303123234504,0.903645842787682,0.94226,0.6928,0.0221158812892041,4.5278574910859,5.8,2.34742,0.509825706844316
-1,"5X1.5","SALIGNA",187.182726740022,486,100,52.6726802691692,0.879610226577251,0.94236,0.68753,0.0359817665703743,4.08470650823621,5.80501,2.32392,0.627934973173057
-1,"6X1.25","SALIGNA",677.121480999721,1078.5,104,181.561767773302,0.606267269348695,0.85035,0.3573,0.0948220696519143,2.07086877636347,3.51637,1.45322,0.312352070301287
-1,"6X1.25","UROPHYLLA",206.959620374649,726,100,60.1392700252394,0.875594530029977,0.94153,0.62107,0.0353752385870312,3.99199741181768,5.76227,2.06834,0.544650941377202
0,"2.50x3.60","SALIGNA",802.792335115864,1079,250,212.302288515696,0.493837896613191,0.84967,0.35793,0.114879309186377,1.7762946345811,3.50771,1.45427,0.367667022196691
0,"2.70x2.70","GLOBULUS X UROPHYLLA",158.995274445656,1038,101,131.683774714714,0.909494972737187,0.94241,0.35726,0.0924200794093282,5.02506980370774,5.80759,1.45316,0.730994712113667
0,"3.00x1.33","SALIGNA",740.444231383829,1078,107,206.539375018384,0.559107836369447,0.86918,0.35725,0.14023883393357,1.98530175455417,3.77992,1.45314,0.476340742488703
0,"3.00x1.70","SALIGNA",594.290322580645,1078,130,267.876157119787,0.640979414927261,0.93894,0.35816,0.164374544862265,2.49250310246679,5.63522,1.45467,1.05170952189678
0,"3.00x1.80","DUNNI",665.715734134435,1079,100,370.899318335936,0.638464479909876,0.94066,0.35742,0.205260910557728,2.69800974464889,5.71882,1.45343,1.32254072058284
0,"3.00x1.80","SALIGNA",919.463541666667,1079,407,122.679694060937,0.506211392746914,0.77474,0.35763,0.0779050841341756,1.7679902662037,2.80692,1.45378,0.20200275245546
0,"3.00x2.00","SALIGNA",678.950815371836,1079,100,285.248555702565,0.576678799895073,0.93631,0.35724,0.171551708565779,2.17338545271718,5.51378,1.45313,0.832485332714937
0,"3.00x2.50","BENTHAMII",890.439034369886,1078,182,121.148781246155,0.452130425531915,0.7028,0.35723,0.0774767328449845,1.64481703764321,2.39363,1.45312,0.177132934194382
0,"3.00x2.50","DUNNI",668.131969646981,1079,100,361.126805323061,0.602055449246673,0.94234,0.35724,0.21520145743131,2.61812191081051,5.80389,1.45312,1.46683731570662
0,"3.00x2.50","GLOBULUS X UROPHYLLA",808.814552087556,1078,242,168.8845554477,0.49296412241589,0.78264,0.35736,0.0857045720038207,1.74053053911634,2.86378,1.45333,0.216147706131923
0,"3.00x2.50","SALIGNA",636.685455046055,1079.5,99.5,338.39944349679,0.613951717460953,0.94244,0.35723,0.205441906907173,2.5709002355827,5.80929,1.45311,1.32505377844565
0,"3.00x2.50","UROPHYLLA",704.400200481155,1079.5,100,260.233823228795,0.548623662389735,0.94242,0.35723,0.129073214849552,1.96670642862871,5.80814,1.45312,0.594592266477715
0,"3.00x2.50","UROPHYLLA X GRANDIS",576.997974341661,1079,100,373.377809011164,0.684450563808238,0.94244,0.35727,0.216499115751328,3.15202296421337,5.80928,1.45318,1.65953619004524
0,"3.00x3.00","GRANDIS",209.988505747126,451,100,76.0034216225318,0.85986632183908,0.93338,0.69645,0.0480157638882133,3.79986586206897,5.38702,2.36403,0.657853789136343
0,"3.00x3.00","SALIGNA",367.948784096675,1079.5,99.5,290.053145248782,0.799069214939642,0.94244,0.35725,0.152167588975043,3.63023971008498,5.80927,1.45315,1.23313904311249
0,"3.5X2","SALIGNA",576.022779643163,1079,111,289.812680007113,0.695621542563697,0.94241,0.35727,0.156147185509687,2.73226423332675,5.80765,1.45318,1.03500208985766
0,"3.5X2","UROPHYLLA X GLOBULUS",452.638783269962,1050,162,161.885405720589,0.726505310519645,0.89841,0.39655,0.0897694349434265,2.64149762991128,4.32294,1.52128,0.559630348980091
0,"3.5x2.14","BENTHAMII",840.659048651999,1079.5,298,164.282589321538,0.491339094360087,0.84679,0.35725,0.108943353773536,1.75701719631236,3.47184,1.45314,0.304843301995885
0,"3.5x2.14","DUNNI",563.560392967942,1079.5,99.5,367.026429241615,0.647510430541193,0.94094,0.35723,0.222831159819766,2.81524338952085,5.73279,1.45311,1.37586653353509
0,"3.5x2.14","GLOBULUS X UROPHYLLA",638.402109621451,1078,129,288.118441228237,0.634490031545741,0.92245,0.35723,0.152051670567545,2.30168647673502,4.97894,1.45312,0.654217320255292
0,"3.5x2.14","GRANDIS X UROPHYLLA",726.445052507025,1078,332,133.600359987937,0.583965512498151,0.80653,0.35753,0.0713259993445061,1.9772254740423,3.05571,1.45361,0.222339786520976
0,"3.5x2.14","SALIGNA",514.654448012604,1079.5,99.5,320.535370391513,0.694460398304839,0.94244,0.35723,0.18679995922127,2.90883899243248,5.80899,1.45311,1.25617023141925
0,"3.5x2.14","UROPHYLLA",514.680286657006,1079.5,99.5,307.521679042548,0.711094091932753,0.94243,0.35725,0.171228459851395,2.9326957746024,5.80843,1.45315,1.1892075168725
0,"3.5x2.14","UROPHYLLA X GRANDIS",172.571395240317,982,102,99.8848568581094,0.901047904806346,0.94234,0.36123,0.0736001947920831,4.65376334111059,5.80399,1.4598,0.639066507154466
0,"3.5x2.14","UROPHYLLA X MAIDENII",466.117604617605,1054,228,123.176954325226,0.729863217893218,0.87513,0.38921,0.0711879545657223,2.60091945165945,3.8751,1.50812,0.386526859195559
0,"3.5x2.60","SALIGNA",686.72715979047,1079,100,274.641352834993,0.628943764421023,0.94244,0.35723,0.145423544814003,2.37360996819067,5.80937,1.45311,0.987134470432528
0,"3.5x2.60","UROPHYLLA X GLOBULUS",745.182763401109,1078,285,225.293374224122,0.554306085951941,0.82467,0.35731,0.117017054319222,1.93420504158965,3.22599,1.45325,0.36816860869716
0,"3.6X2","SALIGNA",630.872850381894,1079,100,262.362574079953,0.630370193055621,0.94236,0.35723,0.160350880565454,2.45386434422005,5.80476,1.45311,1.13008400548802
0,"3.6X2","UROPHYLLA",648.662404580153,1038,257,155.501756750102,0.635525778625954,0.86971,0.37705,0.0906267403058383,2.18706704580153,3.78817,1.48678,0.394151001556221
0,"3.6X2","UROPHYLLA X MAIDENII",384.89966442953,1078,121,324.806254436874,0.737480704697987,0.92453,0.3573,0.20604843821842,3.16389380536913,5.04975,1.45323,1.09982938352499
