ID,Genero,Idade,Escolaridade,Ocupacao,Interesse _no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,Gps,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
A13,1,53,Ensino_medio_completo,Produtor_rural,uso_proprio ,1,30,0,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,ainda_encontrou_dificuldades,mais_dificil_que_peça,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
A14,1,37,Ensino_Superior_Completo,Autônomo,aprender,1,2,1,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
A15,1,32,Ensino_médio_incompleto ,Produtor_rural,aprender,1,13,1,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
A17,2,16,Ensino_médio_incompleto ,Desempregado,aprender,1,NA,1,0,Sem_simulador,Gp_C,NT,P,P,P,P,P,P,NT,NT,NT,P,P,P,P,P,ainda_encontrou_dificuldades,mais_dificil_que_peça,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
A19,1,18,Ensino_medio_completo,Estudante,aprender,1,NA,0,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,NT,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
A20,1,39,Ensino_Fundamental,Vaqueiro ,aprender,1,25,1,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,P,P,NG,NG,NG,NG,NG,teve_alguma_dificuldade,dificuldade_identica,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5
A21,1,26,Ensino_médio_incompleto ,Vaqueiro ,aprerfeicoar,1,10,1,0,Sem_simulador,Gp_C,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
A24,1,26,Ensino_Superior_Incompleto,autonomo ,aprerfeicoar,1,6,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,peças,peças,P,P,P,P,P,peças,P,P,P,P,P,P,P,P,5,5,5,1,5
A25,1,24,Ensino_medio_completo,Vaqueiro ,aprender,1,5,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,4,1,4
A26,1,31,Ensino_Superior_Completo,Empresário,aprender,1,20,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,4,4,4,1,4
