"temp","storage","rep","development"
7.5,30,"r3",27
7.5,30,"r4",0
7.5,30,"r5",0
7.5,30,"r6",0
7.5,30,"r7",0
7.5,30,"r8",0
7.5,30,"r9",0
7.5,30,"r10",22
7.5,30,"r11",0
7.5,30,"r12",0
7.5,30,"r13",25
7.5,30,"r14",0
7.5,30,"r15",26
7.5,30,"r16",25
7.5,30,"r17",0
7.5,30,"r18",0
7.5,30,"r19",0
7.5,30,"r20",0
25,5,"r1",23
25,5,"r2",20
25,5,"r3",23
25,5,"r4",20
25,5,"r5",24
25,5,"r6",22
25,5,"r7",23
25,5,"r8",22
25,5,"r9",25
25,5,"r10",0
25,5,"r11",21
25,5,"r12",21
25,5,"r13",19
25,5,"r14",21
25,5,"r15",23
25,5,"r16",22
25,5,"r17",22
25,5,"r18",19
25,5,"r19",22
25,5,"r20",0
25,10,"r1",21
25,10,"r2",21
25,10,"r3",22
25,10,"r4",0
25,10,"r5",23
25,10,"r6",24
25,10,"r7",23
25,10,"r8",0
25,10,"r9",23
25,10,"r10",20
25,10,"r11",20
25,10,"r12",20
25,10,"r13",23
25,10,"r14",22
25,10,"r15",21
25,10,"r16",20
25,10,"r17",20
25,10,"r18",20
25,10,"r19",19
25,10,"r20",20
25,15,"r1",25
25,15,"r2",0
25,15,"r3",22
25,15,"r4",20
25,15,"r5",21
25,15,"r6",20
25,15,"r7",20
25,15,"r8",21
25,15,"r9",20
25,15,"r10",20
25,15,"r11",22
25,15,"r12",22
25,15,"r13",19
25,15,"r14",21
25,15,"r15",21
25,15,"r16",19
25,15,"r17",19
25,15,"r18",21
25,15,"r19",20
25,15,"r20",19
25,20,"r1",24
25,20,"r2",19
25,20,"r3",20
25,20,"r4",21
25,20,"r5",19
25,20,"r6",20
25,20,"r7",0
25,20,"r8",21
25,20,"r9",20
25,20,"r10",21
25,20,"r11",20
25,20,"r12",21
25,20,"r13",0
25,20,"r14",22
25,20,"r15",20
25,20,"r16",22
25,20,"r17",21
25,20,"r18",20
25,20,"r19",21
25,20,"r20",21
25,30,"r1",25
25,30,"r2",24
25,30,"r3",20
25,30,"r4",20
25,30,"r5",20
25,30,"r6",20
25,30,"r7",24
25,30,"r8",22
25,30,"r9",21
25,30,"r10",0
25,30,"r11",21
25,30,"r12",20
25,30,"r13",23
25,30,"r14",22
25,30,"r15",20
25,30,"r16",22
25,30,"r17",21
25,30,"r18",25
25,30,"r19",22
25,30,"r20",22
