"OBJECTID","CD_USO_SOL","CD_UNIDADE","ID_REGIAO","ID_PROJETO","PROJETO","CD_TALHAO","CARACTERIS","CARACTER_1","CICLO","ROTACAO","DATA_PLANT","LOCALIDADE","BACIA_HIDR","TIP_SOLO","ESPACAMENT","ESPECIE","SISTEMA_PR","MATERIAL_G","REGIME","DECLIVIDAD","TIPO_USO_S","DATA_REG","EST_REG","TIP_REG","VLR_AREA","PROJETO_IN","TIPOLOGIA","BIOMA","REGISTRO_S","TIPO_PRESE","SHAPE_AREA","SHAPE_LEN"
"502947",176153,1,11,"282","TAQUAREMBO","E00501","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.3,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.16748088068e-06,0.0734136795845
"502948",176154,1,11,"282","TAQUAREMBO","E00401","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.88614136388e-06,0.0587505561714
"502951",176157,1,11,"282","TAQUAREMBO","V00703","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.26,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.13200336534e-06,0.0173103860216
"502952",176158,1,11,"282","TAQUAREMBO","V00603","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.29,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.72284654624e-07,0.00546093027306
"501277",40405,1,11,"282","TAQUAREMBO","V00105","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",4.99,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581696","Natural RL",4.70697856834e-06,0.0645305182383
"501285",40398,1,11,"282","TAQUAREMBO","V00108","Afloramento Rochoso","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",0.61,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581685","Natural APP",5.72592909785e-07,0.0127727438095
"502993",176189,1,11,"282","TAQUAREMBO","V00404","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.96,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.85370702288e-06,0.0214575093532
"502989",176180,1,11,"282","TAQUAREMBO","V00303","Florestal (avançado)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.26,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.12921628334e-06,0.0291609108776
"502990",176181,1,11,"282","TAQUAREMBO","V00203","Florestal (avançado)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.78,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,7.38709615987e-07,0.00753134543986
"502991",176182,1,11,"282","TAQUAREMBO","V00210","Afloramento Rochoso","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.02,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.18585783695e-08,0.000847778181321
"502992",176188,1,11,"282","TAQUAREMBO","V00305","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.06,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.94409876149e-06,0.0213619843743
"502954",176160,1,11,"282","TAQUAREMBO","V00304","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.08,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,7.10735472085e-08,0.00178370970892
"502955",176161,1,11,"282","TAQUAREMBO","V00204","Campo Úmido","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.68,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,6.46249968235e-07,0.0104339476969
"502968",176167,1,11,"282","TAQUAREMBO","V00201","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.34,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.20633204037e-06,0.0356960106328
"501313",40406,1,11,"282","TAQUAREMBO","V00102","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,1,"Propria","2009/06/25","A","A",0.12,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA","00581697","A recuperar/Em recuperação APP",1.10040324086e-07,0.00310814751645
