Tratamento;Periodo;Repeticao;Individuo;Evento
BV49 (OD);120;4;15;1
BV49 (OD);120;4;16;1
BV32 + BV49 (OD);24;1;1;1
BV32 + BV49 (OD);24;1;2;1
BV32 + BV49 (OD);24;1;3;1
BV32 + BV49 (OD);24;1;4;1
BV32 + BV49 (OD);24;1;5;1
BV32 + BV49 (OD);24;1;6;1
BV32 + BV49 (OD);24;1;7;1
BV32 + BV49 (OD);24;1;8;1
BV32 + BV49 (OD);24;1;9;1
BV32 + BV49 (OD);24;1;10;1
BV32 + BV49 (OD);24;1;11;1
BV32 + BV49 (OD);24;1;12;0
BV32 + BV49 (OD);24;1;13;0
BV32 + BV49 (OD);24;1;14;0
BV32 + BV49 (OD);24;1;15;0
BV32 + BV49 (OD);24;1;16;0
BV32 + BV49 (OD);96;1;1;1
BV32 + BV49 (OD);96;1;2;1
BV32 + BV49 (OD);96;1;3;1
BV32 + BV49 (OD);96;1;4;1
BV32 + BV49 (OD);96;1;5;1
BV32 + BV49 (OD);96;1;6;1
BV32 + BV49 (OD);96;1;7;1
BV32 + BV49 (OD);96;1;8;1
BV32 + BV49 (OD);96;1;9;1
BV32 + BV49 (OD);96;1;10;1
BV32 + BV49 (OD);96;1;11;1
BV32 + BV49 (OD);96;1;12;1
BV32 + BV49 (OD);96;1;13;1
BV32 + BV49 (OD);96;1;14;1
BV32 + BV49 (OD);96;1;15;1
BV32 + BV49 (OD);96;1;16;1
BV32 + BV49 (OD);120;1;1;1
BV32 + BV49 (OD);120;1;2;1
BV32 + BV49 (OD);120;1;3;1
BV32 + BV49 (OD);120;1;4;1
BV32 + BV49 (OD);120;1;5;1
BV32 + BV49 (OD);120;1;6;1
BV32 + BV49 (OD);120;1;7;1
BV32 + BV49 (OD);120;1;8;1
BV32 + BV49 (OD);120;1;9;1
BV32 + BV49 (OD);120;1;10;1
BV32 + BV49 (OD);120;1;11;1
BV32 + BV49 (OD);120;1;12;1
BV32 + BV49 (OD);120;1;13;1
BV32 + BV49 (OD);120;1;14;1
BV32 + BV49 (OD);120;1;15;1
BV32 + BV49 (OD);120;1;16;1
BV32 + BV49 (OD);24;2;1;1
BV32 + BV49 (OD);24;2;2;1
BV32 + BV49 (OD);24;2;3;1
BV32 + BV49 (OD);24;2;4;1
BV32 + BV49 (OD);24;2;5;1
BV32 + BV49 (OD);24;2;6;1
BV32 + BV49 (OD);24;2;7;1
BV32 + BV49 (OD);24;2;8;1
BV32 + BV49 (OD);24;2;9;1
BV32 + BV49 (OD);24;2;10;1
