data;mes;periodo;ninho;area;classe;montes;olheiro escavação
15/08/2019;Agosto;Seco;2;62.37;6;3;5
15/08/2019;Agosto;Seco;3;11.70;4;1;1
15/08/2019;Agosto;Seco;5;19.64;5;1;0
15/08/2019;Agosto;Seco;6;15.81;4;2;0
15/08/2019;Agosto;Seco;7;53.55;6;1;5
15/08/2019;Agosto;Seco;8;33.60;5;6;10
15/08/2019;Agosto;Seco;9;24.78;5;2;6
15/08/2019;Agosto;Seco;10;9.72;4;1;8
15/08/2019;Agosto;Seco;11;7.52;3;1;
15/08/2019;Agosto;Seco;12;16.17;4;2;6
15/08/2019;Agosto;Seco;13;4.28;3;1;1
15/08/2019;Agosto;Seco;15;36.66;6;5;21
16/08/2019;Agosto;Seco;16;21.26;5;2;6
16/08/2019;Agosto;Seco;17;21.50;5;2;5
16/08/2019;Agosto;Seco;18;9.72;4;3;
16/08/2019;Agosto;Seco;19;11.73;4;3;9
16/08/2019;Agosto;Seco;20;19.68;5;2;4
16/08/2019;Agosto;Seco;21;4.56;3;1;
16/08/2019;Agosto;Seco;22;7.53;3;3;2
16/08/2019;Agosto;Seco;23;48.18;6;4;1
19/08/2019;Agosto;Seco;24;18.63;5;2;16
19/08/2019;Agosto;Seco;25;3.52;3;2;5
19/08/2019;Agosto;Seco;26;8.81;3;1;
19/08/2019;Agosto;Seco;27;18.13;4;1;2
19/08/2019;Agosto;Seco;28;39.76;6;2;14
19/08/2019;Agosto;Seco;29;36.72;6;2;18
19/08/2019;Agosto;Seco;30;5.32;3;1;4
20/08/2019;Agosto;Seco;31;7.44;3;2;2
16/08/2019;Agosto;Seco;32;36.75;6;2;
15/08/2019;Agosto;Seco;33;8.22;3;1;8
15/08/2019;Agosto;Seco;34;2.60;2;2;3
15/08/2019;Agosto;Seco;35;9.45;4;3;11
15/08/2019;Agosto;Seco;36;9.30;4;3;2
20/08/2019;Agosto;Seco;37;12.18;4;1;14
20/08/2019;Agosto;Seco;38;15.95;4;1;4
20/08/2019;Agosto;Seco;39;1.66;2;1;1
20/08/2019;Agosto;Seco;40;1.69;2;1;0
20/08/2019;Agosto;Seco;41;1.08;2;1;1
21/08/2019;Agosto;Seco;41;1.08;2;1;1
20/08/2019;Agosto;Seco;42;70.50;6;5;21
20/08/2019;Agosto;Seco;43;31.27;5;3;9
20/08/2019;Agosto;Seco;44;1.68;2;1;0
21/08/2019;Agosto;Seco;44;1.68;2;1;0
20/08/2019;Agosto;Seco;45;1.43;2;1;1
20/08/2019;Agosto;Seco;46;49.88;6;1;12
20/08/2019;Agosto;Seco;47;35.04;6;1;20
20/08/2019;Agosto;Seco;48;39.10;6;4;7
20/08/2019;Agosto;Seco;49;2.24;2;1;1
20/08/2019;Agosto;Seco;50;1.54;2;2;1
20/08/2019;Agosto;Seco;51;2.72;2;1;4
20/08/2019;Agosto;Seco;52;2.40;2;1;1
21/08/2019;Agosto;Seco;52;2.40;2;1;1
21/08/2019;Agosto;Seco;53;23.79;5;;
21/08/2019;Agosto;Seco;54;27.47;5;;
17/09/2019;Setembro;Seco;39;1.63;2;1;1
17/09/2019;Setembro;Seco;6;15.81;4;3;1
17/09/2019;Setembro;Seco;5;22.36;5;1;0
17/09/2019;Setembro;Seco;3;11.70;4;1;0
17/09/2019;Setembro;Seco;2;62.37;6;1;1
17/09/2019;Setembro;Seco;38;15.79;4;1;12
18/09/2019;Setembro;Seco;38;15.79;4;1;12
17/09/2019;Setembro;Seco;37;14.18;4;1;6
18/09/2019;Setembro;Seco;37;14.18;4;1;6
17/09/2019;Setembro;Seco;36;11.16;4;1;2
17/09/2019;Setembro;Seco;35;9.18;4;1;15
17/09/2019;Setembro;Seco;34;3.66;3;1;5
17/09/2019;Setembro;Seco;33;8.83;3;1;7
17/09/2019;Setembro;Seco;12;16.17;4;2;5
17/09/2019;Setembro;Seco;11;7.71;3;2;0
18/09/2019;Setembro;Seco;11;7.71;3;2;0
17/09/2019;Setembro;Seco;10;11.73;4;1;2
17/09/2019;Setembro;Seco;9;26.10;5;2;0
17/09/2019;Setembro;Seco;7;53.55;6;1;7
17/09/2019;Setembro;Seco;8;33.60;5;3;3
18/09/2019;Setembro;Seco;32;59.86;6;4;3
18/09/2019;Setembro;Seco;13;4.40;3;1;1
19/09/2019;Setembro;Seco;13;4.40;3;1;1
18/09/2019;Setembro;Seco;15;36.66;6;4;11
18/09/2019;Setembro;Seco;16;25.74;5;3;0
18/09/2019;Setembro;Seco;17;22.00;5;2;0
18/09/2019;Setembro;Seco;18;9.96;4;3;0
18/09/2019;Setembro;Seco;19;11.96;4;3;0
18/09/2019;Setembro;Seco;20;23.23;5;1;0
18/09/2019;Setembro;Seco;21;4.56;3;1;0
18/09/2019;Setembro;Seco;22;7.53;3;4;0
18/09/2019;Setembro;Seco;23;48.18;6;5;0
18/09/2019;Setembro;Seco;24;18.68;5;1;3
19/09/2019;Setembro;Seco;25;3.52;3;1;0
19/09/2019;Setembro;Seco;26;8.81;3;2;0
19/09/2019;Setembro;Seco;27;18.13;4;1;2
19/09/2019;Setembro;Seco;28;41.61;6;3;0
19/09/2019;Setembro;Seco;29;36.72;6;3;1
19/09/2019;Setembro;Seco;30;5.32;3;1;0
19/09/2019;Setembro;Seco;31;7.44;3;1;0
19/09/2019;Setembro;Seco;40;1.96;2;1;0
20/09/2019;Setembro;Seco;40;1.96;2;1;0
19/09/2019;Setembro;Seco;41;1.08;2;1;0
20/09/2019;Setembro;Seco;41;1.08;2;1;0
19/09/2019;Setembro;Seco;42;70.50;6;1;0
19/09/2019;Setembro;Seco;54;27.47;5;2;2
19/09/2019;Setembro;Seco;43;31.27;5;3;0
19/09/2019;Setembro;Seco;44;1.68;2;1;1
19/09/2019;Setembro;Seco;45;1.43;2;1;2
20/09/2019;Setembro;Seco;45;1.43;2;1;2
19/09/2019;Setembro;Seco;46;49.88;6;1;0
20/09/2019;Setembro;Seco;47;35.04;6;1;4
20/09/2019;Setembro;Seco;48;39.10;6;3;3
20/09/2019;Setembro;Seco;49;2.24;2;2;0
20/09/2019;Setembro;Seco;50;1.54;2;2;0
20/09/2019;Setembro;Seco;51;2.72;2;1;2
20/09/2019;Setembro;Seco;52;2.40;2;1;1
20/09/2019;Setembro;Seco;53;23.79;5;3;7
14/10/2019;Outubro;Chuvoso;39;1.63;2;1;0
14/10/2019;Outubro;Chuvoso;6;15.81;4;3;0
14/10/2019;Outubro;Chuvoso;5;22.36;5;1;0
14/10/2019;Outubro;Chuvoso;3;11.70;4;1;0
14/10/2019;Outubro;Chuvoso;2;62.37;6;3;0
14/10/2019;Outubro;Chuvoso;38;15.79;4;1;15
14/10/2019;Outubro;Chuvoso;37;14.18;4;1;4
14/10/2019;Outubro;Chuvoso;36;11.16;4;2;0
14/10/2019;Outubro;Chuvoso;35;11.74;4;1;4
14/10/2019;Outubro;Chuvoso;34;3.66;3;1;0
14/10/2019;Outubro;Chuvoso;33;17.94;3;3;13
14/10/2019;Outubro;Chuvoso;12;16.17;4;2;3
14/10/2019;Outubro;Chuvoso;11;7.71;3;1;1
14/10/2019;Outubro;Chuvoso;10;11.73;4;1;2
14/10/2019;Outubro;Chuvoso;13;4.40;3;1;0
14/10/2019;Outubro;Chuvoso;9;26.10;5;2;1
14/10/2019;Outubro;Chuvoso;8;33.60;5;3;2
15/10/2019;Outubro;Chuvoso;7;53.55;6;2;6
15/10/2019;Outubro;Chuvoso;17;22.00;5;2;0
15/10/2019;Outubro;Chuvoso;16;25.74;5;3;3
15/10/2019;Outubro;Chuvoso;15;36.66;6;2;27
15/10/2019;Outubro;Chuvoso;19;11.96;4;2;0
15/10/2019;Outubro;Chuvoso;32;59.86;6;3;0
15/10/2019;Outubro;Chuvoso;18;9.96;4;2;0
15/10/2019;Outubro;Chuvoso;20;23.23;5;1;1
15/10/2019;Outubro;Chuvoso;21;4.56;3;1;0
15/10/2019;Outubro;Chuvoso;22;7.53;3;4;0
15/10/2019;Outubro;Chuvoso;23;48.18;6;3;0
15/10/2019;Outubro;Chuvoso;24;18.68;5;1;1
15/10/2019;Outubro;Chuvoso;25;3.52;3;1;1
15/10/2019;Outubro;Chuvoso;26;10.35;4;4;0
15/10/2019;Outubro;Chuvoso;27;18.13;4;1;3
15/10/2019;Outubro;Chuvoso;28;41.61;6;3;2
15/10/2019;Outubro;Chuvoso;29;36.76;6;;
15/10/2019;Outubro;Chuvoso;30;5.32;3;1;0
15/10/2019;Outubro;Chuvoso;31;7.44;3;2;2
16/10/2019;Outubro;Chuvoso;41;1.08;2;1;0
16/10/2019;Outubro;Chuvoso;40;1.96;2;1;0
16/10/2019;Outubro;Chuvoso;42;70.50;6;4;3
16/10/2019;Outubro;Chuvoso;54;27.47;5;2;2
16/10/2019;Outubro;Chuvoso;45;1.62;2;1;0
16/10/2019;Outubro;Chuvoso;53;23.79;5;3;0
16/10/2019;Outubro;Chuvoso;46;49.88;6;2;0
16/10/2019;Outubro;Chuvoso;47;45.76;6;1;3
16/10/2019;Outubro;Chuvoso;48;39.10;6;3;2
16/10/2019;Outubro;Chuvoso;50;1.54;2;2;0
16/10/2019;Outubro;Chuvoso;49;2.24;2;3;1
16/10/2019;Outubro;Chuvoso;52;2.40;2;1;0
16/10/2019;Outubro;Chuvoso;51;2.72;2;1;0
16/10/2019;Outubro;Chuvoso;44;1.68;2;1;0
16/10/2019;Outubro;Chuvoso;43;31.27;5;3;0
17/10/2019;Outubro;Chuvoso;60;0.20;1;1;1
17/10/2019;Outubro;Chuvoso;61;0.35;1;1;0
17/10/2019;Outubro;Chuvoso;59;0.10;1;1;1
17/10/2019;Outubro;Chuvoso;62;0.38;1;1;0
17/10/2019;Outubro;Chuvoso;64;0.14;1;1;1
17/10/2019;Outubro;Chuvoso;65;0.19;1;1;0
17/10/2019;Outubro;Chuvoso;55;0.19;1;1;1
17/10/2019;Outubro;Chuvoso;56;0.24;1;1;1
17/10/2019;Outubro;Chuvoso;57;0.08;1;1;0
17/10/2019;Outubro;Chuvoso;58;0.11;1;1;0
11/11/2019;Novembro;Chuvoso;39;5.38;3;1;2
11/11/2019;Novembro;Chuvoso;6;16.83;4;2;10
11/11/2019;Novembro;Chuvoso;5;22.36;5;1;8
11/11/2019;Novembro;Chuvoso;3;11.70;4;1;0
11/11/2019;Novembro;Chuvoso;2;73.03;7;1;47
11/11/2019;Novembro;Chuvoso;38;45.88;6;1;41
11/11/2019;Novembro;Chuvoso;37;62.40;6;2;37
11/11/2019;Novembro;Chuvoso;36;11.16;4;1;0
11/11/2019;Novembro;Chuvoso;35;25.65;5;2;1
11/11/2019;Novembro;Chuvoso;34;3.66;3;1;2
11/11/2019;Novembro;Chuvoso;60;0.45;1;1;2
11/11/2019;Novembro;Chuvoso;61;0.52;1;1;2
11/11/2019;Novembro;Chuvoso;33;51.30;6;3;20
11/11/2019;Novembro;Chuvoso;62;2.41;2;1;2
11/11/2019;Novembro;Chuvoso;8;33.60;5;2;46
11/11/2019;Novembro;Chuvoso;9;26.10;5;2;0
