"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","B2","B3","B4","B8"
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",223.286494112015,361.545929040409,288.576681878539,2969.42619249808
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",45.4435777280521,58.2634218974953,96.1717136770972,561.386418620819
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",148,250,157,1490
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",547,766,1194,4228
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",186.614919832738,321.900472695723,240.625031931125,3100.73936377089
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",49.2615667590635,62.5296148290148,99.1991518136199,598.653012593868
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",103,170,89,1427
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",536,785,1096,4564
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",210.794291059975,358.541310246266,274.330334684221,3040.05152935707
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",46.5785741920685,60.8885879785991,94.1191487686288,535.541847067665
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",136,230,145,1552
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",535,775,1120,4540
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",236.211722347645,367.86902945488,284.304542389575,2995.91692959503
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",46.9325147853748,60.451864648363,96.3928505226818,517.486686573149
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",169,252,149,1534
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",534,808,1178,4532
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",199.216387168635,337.930308448918,205.69418381742,3381.85897949273
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",38.609028817399,56.8608116971481,65.1173298735849,533.50940541858
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",121,176,105,1440
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",426,721,904,4752
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",131.785009746185,286.300844132382,176.195355200688,3505.00372932531
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",32.7000115709844,47.6990528567485,59.129119684542,646.329438749636
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",62,123,68,1430
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",351,599,836,4573
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",132.315060674892,278.582768929116,175.99906910701,3444.51931746787
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",31.2495626550158,45.4883050989222,56.1076344848481,677.313004173906
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",51,142,82,1516
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",317,597,742,4464
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",135.670592756755,268.182614969311,154.487356425003,3455.47974128308
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",31.688074920583,46.1529153641853,56.6231344372657,696.192085178195
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",67,131,57,1324
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",324,548,613,4508
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",137.040455297575,284.079741513225,173.598227045836,3539.01569170297
