Lat;Long
9.168856093;35.83479514
9.712950588;35.53745833
9.120910357;35.78587785
9.120910357;35.78587785
9.712950588;35.53745833
9.168856093;35.83479514
9.6935851;35.50196334
9.120910357;35.78587785
9.621232563;35.68686683
9.712950588;35.53745833
9.168856093;35.83479514
9.168856093;35.83479514
9.712950588;35.53745833
9.120910357;35.78587785
9.621232563;35.68686683
9.621232563;35.68686683
9.120910357;35.78587785
9.168856093;35.83479514
9.712950588;35.53745833
9.621232563;35.68686683
9.120910357;35.78587785
5.561331928;23.29907536
9.712950588;35.53745833
9.168856093;35.83479514
5.561331928;23.29907536
9.621232563;35.68686683
9.120910357;35.78587785
9.712950588;35.53745833
9.168856093;35.83479514
9.621232563;35.68686683
9.120910357;35.78587785
5.561331928;23.29907536
9.168856093;35.83479514
9.712950588;35.53745833
9.6935851;35.50196334
9.621232563;35.68686683
9.120910357;35.78587785
5.561331928;23.29907536
9.523319246;35.50873248
9.586993812;35.41701446
9.712950588;35.53745833
9.168856093;35.83479514
9.621232563;35.68686683
9.120910357;35.78587785
5.561331928;23.29907536
9.523319246;35.50873248
9.586993812;35.41701446
9.6935851;35.50196334
9.621232563;35.68686683
9.523319246;35.50873248
9.120910357;35.78587785
5.561331928;23.29907536
9.586993812;35.41701446
9.712950588;35.53745833
9.621232563;35.68686683
9.120910357;35.78587785
9.523319246;35.50873248
5.561331928;23.29907536
9.586993812;35.41701446
9.712950588;35.53745833
9.523319246;35.50873248
9.120910357;35.78587785
9.621232563;35.68686683
9.6935851;35.50196334
5.5600294;23.29756589
9.586993812;35.41701446
9.712950588;35.53745833
5.561446834;23.30044195
9.523319246;35.50873248
9.120910357;35.78587785
9.621232563;35.68686683
19.04114064;27.04263519
9.586993812;35.41701446
9.6935851;35.50196334
5.5600294;23.29756589
9.712950588;35.53745833
9.621232563;35.68686683
9.120910357;35.78587785
5.563182829;23.29880044
9.523319246;35.50873248
18.8402849;26.86198372
5.561446834;23.30044195
19.04114064;27.04263519
9.586993812;35.41701446
9.712950588;35.53745833
18.8406599;26.86259829
9.621232563;35.68686683
9.120910357;35.78587785
5.563182829;23.29880044
9.523319246;35.50873248
5.561446834;23.30044195
5.5600294;23.29756589
9.586993812;35.41701446
18.8402849;26.86198372
18.8406599;26.86259829
9.712950588;35.53745833
19.04114064;27.04263519
9.523319246;35.50873248
9.621232563;35.68686683
9.120910357;35.78587785
5.563182829;23.29880044
5.561446834;23.30044195
5.5600294;23.29756589
9.586993812;35.41701446
18.8402849;26.86198372
18.8406599;26.86259829
