"STAND","DATE","STATUS","SAVI_MAX","MSR_SD","GCI_SD"
"PONTADASCANAS_021D",2022-02-16,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-02-19,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-02-24,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-02-26,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-03-03,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-03-21,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-03-28,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-03-31,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-04-02,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-04-15,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_021D",2022-04-20,"healthy",0.684989516413639,0.128297955245136,0.0297264666853521
"PONTADASCANAS_022C",2022-02-01,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-02-14,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-02-16,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-02-19,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-02-24,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-02-26,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-03-03,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-03-21,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-03-28,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-03-31,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-04-02,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-04-15,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_022C",2022-04-20,"healthy",0.840902124995088,0.341468449468992,0.0750918884083661
"PONTADASCANAS_023C",2022-02-01,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-02-14,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-02-16,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-02-19,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-02-24,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-02-26,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-03-03,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-03-21,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-03-28,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-03-31,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-04-02,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"PONTADASCANAS_023C",2022-04-15,"bronze_bug",0.864762531953923,0.24786718080904,0.059795938530037
"QUEBRACANGA_009B",2022-02-16,"healthy",0.528828620863089,0.351353838282275,0.0839490761782073
"QUEBRACANGA_009B",2022-02-26,"healthy",0.528828620863089,0.351353838282275,0.0839490761782073
"QUEBRACANGA_009B",2022-03-03,"healthy",0.528828620863089,0.351353838282275,0.0839490761782073
"QUEBRACANGA_009B",2022-03-28,"healthy",0.528828620863089,0.351353838282275,0.0839490761782073
"QUEBRACANGA_009B",2022-06-11,"healthy",0.528828620863089,0.351353838282275,0.0839490761782073
"QUITERIA_225A",2022-02-11,"healthy",0.75682373573082,0.610410690141095,0.528718175426649
"QUITERIA_225A",2022-02-16,"healthy",0.75682373573082,0.610410690141095,0.528718175426649
"QUITERIA_225A",2022-02-26,"healthy",0.75682373573082,0.610410690141095,0.528718175426649
"QUITERIA_225A",2022-03-28,"healthy",0.75682373573082,0.610410690141095,0.528718175426649
"QUITERIA_225A",2022-06-11,"healthy",0.75682373573082,0.610410690141095,0.528718175426649
"RAMOS_003B",2022-02-11,"healthy",0.754646558206026,0.724407872890946,0.937955065287707
