TRAT	DAP	REP	Umidade	Condutividade	Altura	Caule	Folhas	Flor.m	Flor.f	Frutos	Bojo	Pesc	Comp.frutos	Peso.frutos				
CONTROL	20	3	12.6	364	13.70	5.40	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	3	12.0	360	5.00	5.10	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	3	13.0	382	9.30	4.90	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	3	11.8	351	7.80	6.10	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	3	12.3	368	12.30	5.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	10.8	338	5.00	4.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	11.2	346	9.00	5.50	5	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	11.8	358	10.00	6.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	11.5	352	4.00	8.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	12.4	370	6.00	9.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	11.6	354	5.00	7.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	12.0	360	12.00	8.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	12.6	364	7.00	5.00	4	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	11.5	351	7.00	6.00	3	NA	NA	NA	NA	NA	NA	NA				
CONTROL	20	4	12.6	364	5.00	5.00	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	12.7	366	12.00	7.30	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	11.9	360	13.50	8.20	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	14.3	408	9.30	6.90	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	12.8	368	7.70	5.40	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	13.5	391	11.50	9.60	4	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	1	12.1	364	20.00	8.70	6	NA	NA	NA	NA	NA	NA	NA				
