alunos,exito,tempo,alvo,grupo,curso,tentativa_1,tentativa_2,tentativa_3
a6,0,03:00,0,testemunho,c1,0,0,0
a19,1,01:18,1,testemunho,c1,1,0,0
a25,1,00:21,1,testemunho,c1,1,0,1
a47,0,03:00,0,testemunho,c1,0,0,0
a51,1,01:10,1,testemunho,c1,1,1,1
a59,0,02:47,0,testemunho,c1,0,0,1
a63,0,03:00,0,testemunho,c1,0,0,0
a69,1,00:39,0,testemunho,c1,0,0,0
a5,0,03:00,0,simulador,c2,1,0,0
a11,1,00:31,0,simulador,c2,0,0,0
a32,0,03:00,0,simulador,c2,0,0,0
a40,1,01:00,1,simulador,c2,1,0,0
a41,1,01:25,0,simulador,c2,0,0,0
a50,1,03:22,0,simulador,c2,0,0,0
a65,0,03:00,0,simulador,c2,0,0,0
a71,1,00:33,1,simulador,c2,0,0,0
a79,0,03:00,0,simulador,c2,0,0,0
a35,1,02:09,0,simulador,c3,0,0,0
a2,1,01:22,0,simulador,c3,0,0,0
a10,1,01:26,1,simulador,c3,0,1,0
a12,0,03:00,0,simulador,c3,0,0,1
a21,1,01:07,1,simulador,c3,0,0,0
a43,1,00:28,1,simulador,c3,1,0,1
a44,1,01:25,0,simulador,c3,0,0,0
a67,1,00:40,1,simulador,c3,0,1,0
a36,0,02:25,0,testemunho,c3,0,0,0
a3,0,03:00,0,testemunho,c4,1,0,0
a7,1,02:25,0,testemunho,c4,0,0,0
a15,0,03:00,0,testemunho,c4,0,0,0
a31,1,01:20,0,testemunho,c4,0,0,0
a38,0,02:18,0,testemunho,c4,1,0,0
a49,1,00:38,1,testemunho,c4,0,0,1
a53,1,01:22,1,testemunho,c4,1,0,0
a54,0,03:00,0,testemunho,c4,1,0,0
a57,0,03:00,0,testemunho,c4,0,0,0
a72,1,01:04,1,testemunho,c4,1,0,0
a8,1,00:31,1,simulador,c5,0,0,1
a17,1,01:16,0,simulador,c5,0,0,0
a29,0,03:00,0,simulador,c5,0,0,1
a45,1,02:24,1,simulador,c5,0,0,0
a46,1,01:24,1,simulador,c5,0,0,1
a62,1,02:56,0,simulador,c5,0,0,0
a75,1,01:35,0,simulador,c5,0,0,0
a77,1,00:45,1,simulador,c5,0,0,0
a78,0,03:00,0,simulador,c5,0,0,0
a4,1,01:03,0,simulador,c6,0,0,0
a14,1,01:11,0,simulador,c6,0,0,0
a23,0,03:00,0,simulador,c6,0,0,0
a27,1,00:32,1,simulador,c6,0,0,0
a30,0,03:00,0,simulador,c6,0,0,0
a39,1,00:26,1,simulador,c6,0,0,1
a66,1,00:36,1,simulador,c6,1,0,0
a70,1,00:36,0,simulador,c6,0,1,0
a74,1,02:45,0,simulador,c6,0,0,0
a13,1,00:18,0,simulador,c7,0,0,0
a16,0,03:00,0,simulador,c7,0,0,0
a18,1,00:44,0,simulador,c7,0,0,1
a22,1,00:11,0,simulador,c7,0,0,0
a33,1,00:07,0,simulador,c7,0,0,0
a55,1,00:43,0,simulador,c7,0,0,0
a61,1,00:47,0,simulador,c7,0,0,0
a73,0,03:00,0,simulador,c7,0,0,0
a76,1,01:57,0,simulador,c7,0,0,0
a20,1,02:15,1,simulador,c8,0,0,1
a24,1,00:56,1,simulador,c8,0,0,1
a26,0,03:00,0,simulador,c8,0,0,1
a34,1,00:22,1,simulador,c8,0,1,1
a48,1,00:16,1,simulador,c8,0,0,1
a52,1,01:13,0,simulador,c8,0,0,1
a56,1,00:28,0,simulador,c8,0,1,1
a58,1,01:42,0,simulador,c8,0,0,0
a60,1,00:52,1,simulador,c8,0,0,1
a1,1,02:35,0,testemunho,c9,0,0,0
a9,0,03:00,0,testemunho,c9,0,0,0
a28,1,01:08,0,testemunho,c9,0,0,0
a37,1,01:17,1,testemunho,c9,0,0,0
a42,0,03:00,0,testemunho,c9,0,0,0
a64,0,03:00,0,testemunho,c9,0,1,0
a68,1,01:19,0,testemunho,c9,1,0,0
