"STAND","COMPANY","SPACING","AGE","DATE","STATUS","STATS","B2","B3","B4","B8","NDVI","SAVI","SIPI","SR","RGI","TVI","MSR","PRI","GNDVI","PSRI","GCI"
"ALAMEDA_007A","CMPC","3.00x2.50",5,"2022-02-11","healthy","MEAN",168.364057134843,347.52817273302,222.825701289521,3020.20579603523,0.876004558306399,1.31379349509544,1.00677992132416,17.0797585891685,0.635415953684598,179078.628213212,4.07472563850571,-0.264295540371275,0.809831834737881,-0.0394005096142608,9.62602245837903
"ALAMEDA_007A","CMPC","3.00x2.50",5,"2022-02-16","healthy","SD",59.4091551230637,116.127937419241,82.3237347278726,559.519649231234,0.0497652131252674,0.0746399919693899,0.0223032861432081,4.92144701636655,0.135854237408274,36226.6453535971,0.621195866385988,0.063795205353673,0.0594678641815728,0.0221065405865645,3.38357202618207
"ALAMEDA_007A","CMPC","3.00x2.50",5,"2022-02-26","healthy","MIN",35,117,80,1044,0.28418366202346,0.426218852849578,0.960012453469791,1.79577167326652,0.303543137817331,31735,1.33980770363634,-0.589723391178488,0.356108337352166,-0.103075676841277,1.1107184546919
"ALAMEDA_007A","CMPC","3.00x2.50",5,"2022-03-28","healthy","MAX",836,1122,1536,5445,0.945928389764099,1.4185905230799,1.58485559727015,37.9704321061084,2.10170252093195,337675,6.12082520126809,0.1703081232493,0.922346594885426,0.131698270681469,33.0875421440506
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-09","healthy","MAX",1030,1538,2968,4992,0.941463414634146,1.41194913778087,3.57957244655582,33.1666666666667,2.56008583690987,315600,5.75905084772366,-0.102721685689201,0.882783882783883,0.45688622754491,15.0625
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-09","healthy","MEAN",466.878712314678,721.156536021739,901.909839829891,3123.19019972899,0.591689885340683,0.887413729697791,1.3282742852079,6.99710597714122,1.06768364588893,115201.491213131,2.43692776094072,-0.239268246421863,0.633495033010448,0.0601402253192889,4.39482109898877
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-09","healthy","MIN",81,140,51,1018,0.110246433203632,0.165356245440545,0.989882854100106,1.24781341107872,0.370748299319728,-114280,1.11705568844114,-0.52156862745098,0.363996043521266,-0.10747392815759,1.14463452566096
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-09","healthy","SD",263.098491978017,334.505651719673,708.561636418256,334.03167726423,0.161643656625361,0.242414580771855,0.261912797720119,6.49778834553713,0.313724420790795,57261.6492312927,0.986795529113339,0.0761344665072436,0.103345023602862,0.0751369953138273,3.23355587174005
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-14","healthy","MAX",1022,1404,2792,4968,0.913739439751,1.3703045121138,3.96788990825688,22.1855670103093,2.52406417112299,281920,4.71015573100394,-0.0685859441151566,0.849069849069849,0.473107569721116,11.2511627906977
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-14","healthy","MEAN",407.482984509614,692.409904107923,899.708675012752,3014.04354660963,0.564084699607574,0.846009040846761,1.38733409240727,6.17500996645628,1.13277980067236,102157.279761969,2.29221912900279,-0.242414221380308,0.622358449467826,0.0756431690049433,4.15943231589695
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-14","healthy","MIN",33,96,56,974,0.145931405514459,0.218878708918215,0.967276227141482,1.34173228346457,0.177777777777778,-101200,1.15833168111063,-1,0.431881741909708,-0.111961722488038,1.52039381153305
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-14","healthy","SD",255.29378580252,325.2079344678,692.732582688518,320.441233806779,0.263831242162799,0.395683655158701,0.424437165598712,5.33003540505685,0.431921271488067,86167.122114545,1.02897432738057,0.0642196246783806,0.144048630585485,0.121813689731447,2.47983243336272
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-19","healthy","MAX",1034,1478,2840,4888,0.985828166519043,1.47808764940239,3.27555555555556,140.125,2.48497409326425,317800,11.8374406017517,-0.0729537366548043,0.960233918128655,0.440408626560726,48.2941176470588
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-19","healthy","MEAN",475.714739469356,738.227500002066,967.778728559864,3052.98543885568,0.636447791446269,0.954518069055696,1.2459645446767,7.73050119711307,0.998218521307741,113324.567501854,2.58972459689349,-0.223520794975271,0.657481916924309,0.0370477073835006,4.9344761972589
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-19","healthy","MIN",77,107,51,994,0.126545026486168,0.189803575369676,0.968253968253968,1.28975741239892,0.335526315789474,-113800,1.13567487090229,-0.437077131258457,0.380439868975199,-0.101394849785408,1.22809667673716
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-19","healthy","SD",271.790229305321,346.953761623186,731.838258398498,329.006318334838,0.263920279681481,0.395814847501376,0.463377249091046,4.8909493010589,0.426273607874506,85531.1149782602,0.959859853628843,0.0655267569240977,0.143188650892887,0.127597901855593,2.39096015096844
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-24","healthy","MAX",1100,1440,2800,4368,0.94045534150613,1.41027137437992,3.51951219512195,32.5882352941176,2.48605577689243,320520,5.70861062729957,-0.0326797385620915,0.863147605083089,0.456762749445676,12.6142857142857
"ALCINA_001A","CMPC","3.50x2.50",15,"2022-02-24","healthy","MEAN",433.813864461399,699.400669359591,913.675148128825,2709.3123992943,0.773116259775812,1.15949513940896,1.09670665815973,11.0713496430908,0.807360237831054,164439.573702307,3.19987431801692,-0.28553124892435,0.739345841465298,-0.0142385535207337,6.67134143228914
