"STAND","ESPACAMENT","ESPECIE","IDADE","DATE_S2","NDVI_avg","NDVI_sd","NDVI_min","NDVI_max","MONTH","NDVI_ref"
"ARROIOXAVIER024B",6,"benthamii",6,"2019-01-28",0.876809782038822,0.0916484698401576,-0.234999999403954,0.985195159912109,1,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-02-22",0.894560852030684,0.0807987928091968,-0.178294569253922,0.998457968235016,2,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-03-24",0.879314957360512,0.0757921248857556,0.084423303604126,0.993265986442566,3,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-05-18",0.912182070281785,0.117489208565066,-0.566607475280762,0.999173581600189,5,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-07-07",0.908184746846501,0.113234198608936,-0.609254479408264,0.999296545982361,7,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-08-06",0.856503662875494,0.1171616140244,-0.429090917110443,0.981776773929596,8,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",6,"2019-09-30",0.814975859757038,0.101747034405862,-0.202597409486771,0.921842277050018,9,0.823395115852702
"ARROIOXAVIER024B",6,"benthamii",7,"2019-11-29",0.866340945507483,0.0930346015886067,-0.0851485133171082,0.954320967197418,11,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2019-12-04",0.484574403205789,0.289814077513769,0.0102643854916096,0.958727419376373,12,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2019-12-09",0.854216073719277,0.0959936994239917,-0.0452127642929554,0.934505760669708,12,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2019-12-24",0.866857758984271,0.101130824810173,-0.0112359551712871,0.97330367565155,12,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-02-02",0.868649303004422,0.091377392075336,0.00459418073296547,0.94947874546051,2,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-03-08",0.868374287754038,0.0851230288594448,0.225986078381538,0.957259595394135,3,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-04-07",0.894005737467455,0.080681223008117,0.252127647399902,0.997432589530945,4,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-05-02",0.816248578323951,0.177225621503454,0.109523423016071,0.984819710254669,5,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-05-07",0.893158252838538,0.0863225287513583,0.248220220208168,0.998231649398804,5,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-05-17",0.894342812024661,0.0948166930721245,0.196955278515816,0.998411417007446,5,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-05-27",0.913800512646972,0.0949770382463479,0.204233825206757,0.999328434467316,5,0.817107101276153
"ARROIOXAVIER024B",6,"benthamii",7,"2020-07-26",0.903135821291885,0.112359199613291,-0.414634138345718,0.999269008636475,7,0.817107101276153
