"status","NDVI","SIPI","RGI","PRI"
"healthy",0.45882525948592,0.447764911753234,0.591960077276136,0.59995605818821
"attack",0.310944745146082,0.649898670000273,0.717577363296523,0.630822514824549
"healthy",0.564564325029037,0.346035405616677,0.603821003706875,0.628935532233883
"attack",0.528865542768795,0.41781777498531,0.61859181435501,0.585979793354554
"attack",0.434023251887012,0.488313791244024,0.684652982297522,0.640665442097353
"attack",0.493654829037379,0.483666883232678,0.627121334045869,0.551591239323812
"attack",0.478132666882713,0.485638888274999,0.642683247109013,0.575877565001794
"attack",0.45098221118416,0.496339255381633,0.729227175394199,0.642559026949678
"attack",0.466267072676386,0.515765423969136,0.682344536401625,0.578568260656075
"attack",0.422620291853196,0.516636175210641,0.680702246809512,0.621811577876963
"attack",0.435521366346934,0.476701843742055,0.669279142791851,0.641021391226995
"healthy",0.562707051291626,0.366161789419962,0.555047198101499,0.573275862068966
"healthy",0.544426973423906,0.460426984128441,0.589910485837231,0.495049744035545
"attack",0.505368022699907,0.49162398841699,0.677907682442259,0.557041207287513
"attack",0.502427656808633,0.456427210443328,0.65703623164322,0.591648436393396
"attack",0.474644251870227,0.453438732476092,0.709938214256389,0.653770896175575
"healthy",0.556760325769192,0.386643832405993,0.605233503414883,0.587324393358876
"healthy",0.554477264383321,0.420206623806523,0.580836433084827,0.5309105651256
"attack",0.528133261235206,0.432344993402672,0.64681571105554,0.586466165413534
"attack",0.521963783257702,0.446233086442655,0.62402693666077,0.562353443731482
"attack",0.477268978238274,0.490654915156835,0.640765381488394,0.570096511511008
"attack",0.401763575191094,0.531436770331508,0.64060756583986,0.602804136114958
"attack",0.349631567702441,0.589319527126877,0.749249864069328,0.662287420146565
"attack",0.469426189914539,0.414888757335842,0.652806860566473,0.662071662291899
"attack",0.563083914396092,0.365441818489021,0.610848322961173,0.611278826452766
"attack",0.581536900088052,0.400983029147799,0.638091476038302,0.559479430169085
"attack",0.584857920086172,0.385409429626636,0.615191827548855,0.564160259656554
"attack",0.56048731116891,0.381592427990677,0.610520573495525,0.593338515424526
"attack",0.533910451842689,0.411807638515867,0.690480825384466,0.631704844822689
"healthy",0.633275196616184,0.303541880267934,0.580778340146649,0.607871832821578
"healthy",0.619998976828749,0.327359193324201,0.600032785877483,0.599163236385721
"healthy",0.583550808848177,0.419956435586551,0.59850588913281,0.504124183755298
"healthy",0.604590300043512,0.367221898730322,0.568523748005936,0.537025354646889
"attack",0.540741451109626,0.382563975167608,0.63931305485511,0.629396529044081
"attack",0.448428537277886,0.488867881670051,0.645455187211076,0.603630724320379
"attack",0.262906923722111,0.666311475278781,0.753056409811577,0.678476101160418
"attack",0.472421384229863,0.492402054337597,0.679407083288147,0.596195331872922
"attack",0.537205704839298,0.390631432814895,0.622790096802166,0.612686014582926
"attack",0.559368529315952,0.405111248213069,0.667120887677633,0.598422313939555
"healthy",0.597677976100494,0.307753328853476,0.585793697142733,0.636699507389163
"healthy",0.621000297473863,0.32579608506333,0.603788466922654,0.60287229032217
"healthy",0.644304938335515,0.310378601243865,0.569306616680483,0.578301287144446
"attack",0.626476684191654,0.332384444862521,0.630655473107715,0.6039635065849
"attack",0.608779272994804,0.32425678824191,0.625072999805334,0.631261977262306
"attack",0.613378101441592,0.354769333460592,0.620227332429716,0.578247470212818
"healthy",0.616189278181871,0.327314470815998,0.601659769464949,0.604273338348419
"healthy",0.594025357810644,0.350248367319833,0.556633674219587,0.564651165275744
"attack",0.54972204652748,0.413597768589511,0.622095328733444,0.571018062397373
"attack",0.482242116574137,0.478999241382624,0.622081583322013,0.566306762922139
"attack",0.317981825090694,0.617671489166657,0.691114939280185,0.633937076449936
"attack",0.430707240661765,0.584093835140638,0.67300579506147,0.540121856365051
"attack",0.527274089517121,0.370006211757505,0.658338621020675,0.667027300768841
"attack",0.521635550446257,0.410074325817385,0.667781239273586,0.632603580225194
"healthy",0.540396741954642,0.356066648751895,0.591990277215117,0.628840940496408
"healthy",0.598150481987968,0.371286718208529,0.591593500151193,0.553752535496957
"healthy",0.636304865862955,0.354175263772964,0.568868789168207,0.51653343559187
"healthy",0.641004142263898,0.276529437737638,0.574476368772236,0.635543918963536
"healthy",0.637373119060257,0.292483698164863,0.542310799048597,0.593086780991889
"attack",0.603087170640333,0.328356336179838,0.618469678831513,0.626785714285714
"healthy",0.622136098749191,0.32189843517436,0.569009149308935,0.584160478396196
"healthy",0.647499619843787,0.327213283184786,0.558999087649019,0.540376495425756
"healthy",0.577461531659941,0.391997075025896,0.597783970102581,0.552761213378273
"healthy",0.570094695089581,0.347739003834138,0.608721043410551,0.62539538501426
"attack",0.520281382208315,0.455990712357482,0.61892497224403,0.549114035732667
"attack",0.355202840005261,0.586975259654732,0.736664251289206,0.652380739681973
"healthy",0.564807554201607,0.3503612863934,0.561449024014724,0.594722277476803
"healthy",0.560357301151796,0.367882901675737,0.608721043410551,0.60942175774596
"attack",0.518547037868851,0.438502130397039,0.703779366700715,0.622855849606734
"attack",0.571170371045331,0.344703567494252,0.625387460505234,0.639079269888865
"healthy",0.609232522944491,0.394587849500511,0.565532321371174,0.486460024835228
"healthy",0.642192259285735,0.31546206476275,0.569505944364239,0.572786218766692
"attack",0.598467688859221,0.401035221118957,0.646680942184154,0.540719847449547
"healthy",0.626983073972915,0.314896344760055,0.542584467638001,0.571018062397373
"attack",0.600655028367366,0.394576226047312,0.634514307961845,0.540914066776136
"healthy",0.583823165048068,0.343137318377548,0.594705080786451,0.60958193999976
"attack",0.640940051586056,0.288276561641517,0.614199258890472,0.645612769779278
"attack",0.575753025709792,0.416673655884862,0.706894526107989,0.582963397869172
"healthy",0.58342288534177,0.337885463583588,0.592369087015768,0.61508069037083
"attack",0.529723417522315,0.440259120084958,0.628310864588749,0.563539999790823
"attack",0.389436298532344,0.561023397259975,0.733639095945968,0.64192311949964
"attack",0.526890192252058,0.4179418082325,0.62381953973326,0.591121758103336
"attack",0.543093658115824,0.384952356455694,0.615147047035787,0.609017637227305
"healthy",0.596225388498823,0.356124286942692,0.558410506193892,0.555606828362157
"healthy",0.584032972853245,0.335392038415933,0.563267178606871,0.597761930944713
"attack",0.577875459150649,0.354636576240267,0.623061700149495,0.618849966551116
"attack",0.616708876549555,0.32389520638898,0.643927015878669,0.635853981324903
