"Bioma","estacao","ciclo","Hour","anthill","formigueiro","ladenant","unladen","UR","temp"
"Pampa","outono","1°",20,161.01,"5",9,52,91.17,16.72
"Pampa","outono","1°",21,19.63,"1",27,25,87.86,17.46
"Pampa","outono","1°",21,66.96,"3",39,94,90.89,16.61
"Pampa","outono","1°",21,161.01,"5",19,41,92.08,16.5
"Pampa","outono","1°",22,19.63,"1",31,24,94.03,15.94
"Pampa","outono","1°",22,66.96,"3",48,125,93.7,16.04
"Pampa","outono","1°",22,161.01,"5",21,41,91.67,16.47
"Pampa","outono","1°",23,19.63,"1",12,37,93.79,15.86
"Pampa","outono","1°",23,66.96,"3",43,82,87.01,16.85
"Pampa","outono","1°",23,161.01,"5",19,44,91.38,16.28
"Pampa","outono","1°",0,19.63,"1",17,28,94.69,15.28
"Pampa","outono","1°",0,66.96,"3",63,71,94.73,15.48
"Pampa","outono","1°",0,161.01,"5",9,43,91.54,15.83
"Pampa","outono","1°",1,19.63,"1",30,7,95.48,14.92
"Pampa","outono","1°",1,66.96,"3",71,67,95.79,14.9
"Pampa","outono","1°",1,161.01,"5",13,24,95.62,14.91
"Pampa","outono","1°",5,19.63,"1",18,8,97.05,13.86
"Pampa","outono","1°",5,66.96,"3",30,54,97.05,13.84
"Pampa","outono","1°",5,161.01,"5",9,29,96.58,13.84
"Pampa","outono","1°",6,19.63,"1",7,11,96.08,14.05
"Pampa","outono","1°",6,66.96,"3",31,93,96.47,13.99
"Pampa","outono","1°",6,161.01,"5",9,32,96.87,13.95
"Pampa","outono","1°",7,19.63,"1",19,133,96.67,14.08
"Pampa","outono","1°",7,66.96,"3",39,416,96.81,14.17
"Pampa","outono","1°",7,161.01,"5",8,124,96.87,14.13
"Pampa","outono","2°",20,19.63,"1",26,37,89.25,18.16
"Pampa","outono","2°",20,66.96,"3",60,115,89.18,18.21
"Pampa","outono","2°",20,161.01,"5",6,54,84.07,19.3
"Pampa","outono","2°",21,19.63,"1",15,27,85.78,18.8
"Pampa","outono","2°",21,66.96,"3",37,107,79.93,20.43
"Pampa","outono","2°",21,161.01,"5",18,61,86.2,18.82
"Pampa","outono","2°",22,19.63,"1",18,37,78.8,17.98
"Pampa","outono","2°",22,66.96,"3",45,105,89.77,17.99
"Pampa","outono","2°",22,161.01,"5",15,37,84.33,18.12
"Pampa","outono","2°",23,19.63,"1",20,31,86.78,18.05
"Pampa","outono","2°",23,66.96,"3",76,82,88.32,17.84
"Pampa","outono","2°",23,161.01,"5",4,31,89.24,17.38
"Pampa","outono","2°",0,19.63,"1",16,38,96.98,17.32
"Pampa","outono","2°",0,66.96,"3",68,96,88.93,17.62
"Pampa","outono","2°",0,161.01,"5",14,31,86.84,17.96
"Pampa","outono","2°",1,19.63,"1",13,28,89.95,17.32
"Pampa","outono","2°",1,66.96,"3",63,89,90.26,17.62
"Pampa","outono","2°",1,161.01,"5",9,28,93.57,16.87
"Pampa","outono","2°",2,19.63,"1",10,16,96.84,17.39
"Pampa","outono","2°",2,66.96,"3",44,69,96.54,17.85
"Pampa","outono","2°",2,161.01,"5",11,38,97.52,18.16
"Pampa","outono","2°",3,19.63,"1",17,36,97.31,17.85
"Pampa","outono","2°",3,66.96,"3",57,78,96.15,17.74
"Pampa","outono","2°",3,161.01,"5",14,36,97.36,17.85
"Pampa","outono","2°",4,19.63,"1",9,28,97.48,17.84
"Pampa","outono","2°",4,66.96,"3",42,81,96.78,17.83
"Pampa","outono","2°",4,161.01,"5",12,41,97,18.68
"Pampa","outono","2°",5,19.63,"1",12,24,85.4,18.94
"Pampa","outono","2°",5,66.96,"3",33,85,85.79,18.92
"Pampa","outono","2°",5,161.01,"5",16,34,84.42,18.9
"Pampa","outono","2°",6,19.63,"1",6,33,95.66,16.4
"Pampa","outono","2°",6,66.96,"3",53,110,96.47,16.54
"Pampa","outono","2°",6,161.01,"5",8,74,95.16,16.63
"Pampa","outono","2°",7,66.96,"3",3,186,94.55,16.78
"Pampa","inverno","1°",14,23.52,"2",1,0,69.44,22.62
"Pampa","inverno","1°",14,161.01,"5",7,66,68.03,22.01
"Pampa","inverno","1°",15,19.63,"1",2,0,71.45,21.75
"Pampa","inverno","1°",15,161.01,"5",7,38,73.38,21.48
"Pampa","inverno","1°",16,19.63,"1",1,0,71.45,21.78
"Pampa","inverno","1°",16,161.01,"5",5,34,73.47,21.38
"Pampa","inverno","1°",17,161.01,"5",9,58,77.02,20.47
"Pampa","inverno","1°",18,161.01,"5",4,23,81.63,19.73
"Pampa","inverno","1°",19,23.52,"2",6,13,80.12,20.1
"Pampa","inverno","1°",19,161.01,"5",3,49,80.72,20.08
"Pampa","inverno","1°",20,161.01,"5",5,41,83.92,19.4
"Pampa","inverno","1°",21,161.01,"5",7,32,81.74,20.08
"Pampa","inverno","1°",22,161.01,"5",22,19,88.49,19.52
"Pampa","inverno","2°",18,161.01,"5",3,42,95.37,18.7
"Pampa","inverno","2°",19,161.01,"5",3,76,95.64,18.1
"Pampa","inverno","2°",20,161.01,"5",7,43,93.82,18.22
"Pampa","inverno","2°",21,161.01,"5",4,41,99.74,18.56
"Pampa","inverno","2°",22,161.01,"5",4,36,96.47,17.16
"Pampa","inverno","2°",23,161.01,"5",3,44,95.37,16.84
"Pampa","inverno","2°",0,161.01,"5",1,15,92.84,17.32
"Pampa","inverno","2°",13,23.52,"2",2,0,73.64,21.54
"Pampa","primavera","1°",23,19.63,"1",4,32,68.68,16.87
"Pampa","primavera","1°",0,19.63,"1",7,16,76.01,15.34
"Pampa","primavera","1°",1,19.63,"1",7,12,85.5,14.87
"Pampa","primavera","1°",2,19.63,"1",7,13,81.55,14.16
"Pampa","primavera","1°",3,19.63,"1",3,9,88.92,12.5
"Pampa","primavera","1°",4,19.63,"1",3,21,87.68,12.62
"Atlantic Forest","verao","1°",20,60.25,"1",6,130,96,23.1
"Atlantic Forest","verao","1°",21,60.25,"1",17,113,96.14,22.91
"Atlantic Forest","verao","1°",22,60.25,"1",23,161,95.35,23.2
"Atlantic Forest","verao","1°",23,60.25,"1",22,173,95.5,23.18
"Atlantic Forest","verao","1°",0,60.25,"1",38,136,96.63,22.52
"Atlantic Forest","verao","1°",1,60.25,"1",47,114,97.87,22.11
"Atlantic Forest","verao","1°",2,60.25,"1",41,111,97.49,21.71
"Atlantic Forest","verao","1°",3,60.25,"1",33,138,98.58,21.63
"Atlantic Forest","verao","1°",4,60.25,"1",66,234,98.72,21.34
"Atlantic Forest","verao","1°",5,60.25,"1",10,125,98.83,21.4
"Atlantic Forest","verao","2°",19,60.25,"1",8,66,89.18,23.48
"Atlantic Forest","verao","2°",19,54.91,"4",53,136,89.33,23.27
"Atlantic Forest","verao","2°",19,83.02,"5",22,95,89.91,23.42
"Atlantic Forest","verao","2°",20,60.25,"1",51,153,92.55,23.28
"Atlantic Forest","verao","2°",20,69.16,"2",16,34,88.23,23.92
"Atlantic Forest","verao","2°",20,82.82,"3",7,45,90.88,23.13
"Atlantic Forest","verao","2°",20,54.91,"4",41,73,92.13,22.95
"Atlantic Forest","verao","2°",20,83.02,"5",45,149,89.98,23.21
"Atlantic Forest","verao","2°",21,60.25,"1",46,227,94.16,21.85
"Atlantic Forest","verao","2°",21,69.16,"2",6,38,91.71,21.33
"Atlantic Forest","verao","2°",21,82.82,"3",12,36,89.07,23.7
"Atlantic Forest","verao","2°",21,54.91,"4",42,99,92.41,22.88
"Atlantic Forest","verao","2°",21,83.02,"5",41,162,94.92,22.47
"Atlantic Forest","verao","2°",22,60.25,"1",41,139,94.94,22.32
"Atlantic Forest","verao","2°",22,69.16,"2",1,39,89.51,23.56
"Atlantic Forest","verao","2°",22,82.82,"3",16,52,89.03,23.67
"Atlantic Forest","verao","2°",22,54.91,"4",45,105,91.15,23.15
"Atlantic Forest","verao","2°",22,83.02,"5",56,82,90.27,23.24
"Atlantic Forest","verao","2°",23,60.25,"1",50,174,97.25,22
"Atlantic Forest","verao","2°",23,82.82,"3",19,48,96.01,22.27
"Atlantic Forest","verao","2°",23,54.91,"4",52,142,95.49,21.21
"Atlantic Forest","verao","2°",23,83.02,"5",63,114,95.67,21.25
"Atlantic Forest","verao","2°",0,60.25,"1",51,88,94.94,22.51
"Atlantic Forest","verao","2°",0,82.82,"3",5,60,94.5,22.65
"Atlantic Forest","verao","2°",0,54.91,"4",54,82,93.81,24.44
"Atlantic Forest","verao","2°",0,83.02,"5",46,114,93.06,22.82
"Atlantic Forest","verao","2°",1,60.25,"1",57,119,97.37,21.85
"Atlantic Forest","verao","2°",1,82.82,"3",10,48,96.51,21.99
"Atlantic Forest","verao","2°",1,54.91,"4",48,81,96.66,21.98
"Atlantic Forest","verao","2°",1,83.02,"5",29,104,95.11,22.32
"Atlantic Forest","verao","2°",2,60.25,"1",29,104,98.99,21.5
"Atlantic Forest","verao","2°",2,82.82,"3",9,22,96.1,22.16
