aluno,exito,tempo,grupo,curso,tentativa,exito_tentativa,vez_exito
a10,0,03:00,GP_2,2,23,NA,1
a10,0,03:00,GP_2,2,24,NA,1
a11,1,00:31,GP_2,2,1,0,4
a11,1,00:31,GP_2,2,2,0,4
a11,1,00:31,GP_2,2,3,0,4
a11,1,00:31,GP_2,2,4,1,4
a11,1,00:31,GP_2,2,5,0,4
a11,1,00:31,GP_2,2,6,0,4
a11,1,00:31,GP_2,2,7,1,4
a11,1,00:31,GP_2,2,8,1,4
a11,1,00:31,GP_2,2,9,0,4
a11,1,00:31,GP_2,2,10,0,4
a11,1,00:31,GP_2,2,11,0,4
a11,1,00:31,GP_2,2,12,0,4
a11,1,00:31,GP_2,2,13,0,4
a11,1,00:31,GP_2,2,14,0,4
a11,1,00:31,GP_2,2,15,1,4
a11,1,00:31,GP_2,2,16,NA,4
a11,1,00:31,GP_2,2,17,NA,4
a11,1,00:31,GP_2,2,18,NA,4
a11,1,00:31,GP_2,2,19,NA,4
a11,1,00:31,GP_2,2,20,NA,4
a11,1,00:31,GP_2,2,21,NA,4
a11,1,00:31,GP_2,2,22,NA,4
a11,1,00:31,GP_2,2,23,NA,4
a11,1,00:31,GP_2,2,24,NA,4
a12,0,03:00,GP_2,2,1,0,0
a12,0,03:00,GP_2,2,2,0,0
a12,0,03:00,GP_2,2,3,0,0
a12,0,03:00,GP_2,2,4,0,0
a12,0,03:00,GP_2,2,5,0,0
a12,0,03:00,GP_2,2,6,0,0
a12,0,03:00,GP_2,2,7,0,0
a12,0,03:00,GP_2,2,8,0,0
a12,0,03:00,GP_2,2,9,0,0
a12,0,03:00,GP_2,2,10,0,0
a12,0,03:00,GP_2,2,11,0,0
a12,0,03:00,GP_2,2,12,0,0
a12,0,03:00,GP_2,2,13,0,0
a12,0,03:00,GP_2,2,14,0,0
a12,0,03:00,GP_2,2,15,0,0
a12,0,03:00,GP_2,2,16,NA,0
a12,0,03:00,GP_2,2,17,NA,0
a12,0,03:00,GP_2,2,18,NA,0
a12,0,03:00,GP_2,2,19,NA,0
a12,0,03:00,GP_2,2,20,NA,0
a12,0,03:00,GP_2,2,21,NA,0
a12,0,03:00,GP_2,2,22,NA,0
a12,0,03:00,GP_2,2,23,NA,0
a12,0,03:00,GP_2,2,24,NA,0
a13,1,01:00,GP_2,2,1,1,1
a13,1,01:00,GP_2,2,2,0,1
a13,1,01:00,GP_2,2,3,0,1
a13,1,01:00,GP_2,2,4,1,1
a13,1,01:00,GP_2,2,5,0,1
a13,1,01:00,GP_2,2,6,1,1
a13,1,01:00,GP_2,2,7,1,1
a13,1,01:00,GP_2,2,8,0,1
a13,1,01:00,GP_2,2,9,1,1
a13,1,01:00,GP_2,2,10,1,1
a13,1,01:00,GP_2,2,11,1,1
a13,1,01:00,GP_2,2,12,0,1
a13,1,01:00,GP_2,2,13,1,1
a13,1,01:00,GP_2,2,14,1,1
a13,1,01:00,GP_2,2,15,1,1
a13,1,01:00,GP_2,2,16,NA,1
a13,1,01:00,GP_2,2,17,NA,1
a13,1,01:00,GP_2,2,18,NA,1
a13,1,01:00,GP_2,2,19,NA,1
a13,1,01:00,GP_2,2,20,NA,1
a13,1,01:00,GP_2,2,21,NA,1
a13,1,01:00,GP_2,2,22,NA,1
a13,1,01:00,GP_2,2,23,NA,1
a13,1,01:00,GP_2,2,24,NA,1
a14,1,01:25,GP_2,2,1,0,4
a14,1,01:25,GP_2,2,2,0,4
a14,1,01:25,GP_2,2,3,0,4
a14,1,01:25,GP_2,2,4,1,4
a14,1,01:25,GP_2,2,5,0,4
a14,1,01:25,GP_2,2,6,1,4
a14,1,01:25,GP_2,2,7,0,4
a14,1,01:25,GP_2,2,8,1,4
a14,1,01:25,GP_2,2,9,0,4
a14,1,01:25,GP_2,2,10,1,4
a14,1,01:25,GP_2,2,11,0,4
a14,1,01:25,GP_2,2,12,1,4
a14,1,01:25,GP_2,2,13,1,4
a14,1,01:25,GP_2,2,14,0,4
a14,1,01:25,GP_2,2,15,1,4
a14,1,01:25,GP_2,2,16,NA,4
a14,1,01:25,GP_2,2,17,NA,4
a14,1,01:25,GP_2,2,18,NA,4
a14,1,01:25,GP_2,2,19,NA,4
a14,1,01:25,GP_2,2,20,NA,4
a14,1,01:25,GP_2,2,21,NA,4
a14,1,01:25,GP_2,2,22,NA,4
a14,1,01:25,GP_2,2,23,NA,4
a14,1,01:25,GP_2,2,24,NA,4
a15,1,03:22,GP_2,2,1,0,4
a15,1,03:22,GP_2,2,2,0,4
a15,1,03:22,GP_2,2,3,0,4
a15,1,03:22,GP_2,2,4,1,4
a15,1,03:22,GP_2,2,5,0,4
a15,1,03:22,GP_2,2,6,1,4
a15,1,03:22,GP_2,2,7,0,4
a15,1,03:22,GP_2,2,8,0,4
a15,1,03:22,GP_2,2,9,1,4
a15,1,03:22,GP_2,2,10,0,4
a15,1,03:22,GP_2,2,11,0,4
a15,1,03:22,GP_2,2,12,1,4
a15,1,03:22,GP_2,2,13,0,4
a15,1,03:22,GP_2,2,14,0,4
a15,1,03:22,GP_2,2,15,1,4
a15,1,03:22,GP_2,2,16,NA,4
a15,1,03:22,GP_2,2,17,NA,4
