"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","NDVI"
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.91175599644655
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.82035915576337
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0751924662146746
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.360130363932645
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.905620360551432
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.881117641276147
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0485414370881309
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.485925504691498
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.931324110671937
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.900372831492591
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0435855544435536
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.535297387437465
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.946139180171592
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.898318095263859
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0438609089062747
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.576725613234455
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.941391941391941
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.909900046033814
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0441070305957669
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.585492227979275
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.950808151791989
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.901455149953086
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0441094094892393
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.577380952380952
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.942432683379759
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",0.919123785963464
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",0.0491123882376327
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",0.555555555555556
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.960314179412981
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.925533268376633
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0480808432381734
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.601916697382971
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.975683890577508
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.90479680379317
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0492332417060174
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.580204778156997
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.948183760683761
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.910977375765793
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0491195544739096
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.587044534412955
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.954364360738863
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.911028058058579
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0451210340265401
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.622718052738337
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.949258018190522
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.891683309668894
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0534285360332039
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.560456872784561
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.938172658575681
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.877960905207327
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0563751718778541
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.54364471669219
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.929907648591049
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.864611080588294
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0595127616297746
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.489126906848426
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.920253498811724
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.409362410978313
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.074489974180286
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.0710204081632653
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.543767736302117
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",0.86595331619317
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",0.0628739715348658
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",0.478158897683964
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.929584866001051
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.842786978713942
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0632944455431148
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.459090909090909
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.909349909349909
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.814363333072637
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0627904698614569
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.446758580228806
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.898754306917572
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MEAN",0.804325385554772
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"SD",0.0716517822958055
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MIN",0.372670807453416
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",1,"MAX",0.882566311493992
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.825494524191073
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0751141702354122
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.353281196871812
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.901998357514372
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.886405800784826
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0615039296871695
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.360450021635656
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.935304523629012
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.893322796666833
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0674664503447094
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.330008312551953
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.943434343434343
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.852928198240901
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0703121088557548
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.310758377425044
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",0.911052631578947
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",0.831232133747941
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",0.0762082204115611
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",0.3058568329718
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.898824731732243
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",0.851317153579749
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",0.0834366262546204
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",0.277322404371585
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",0.919045147898288
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.908974612802246
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.058421948405366
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.346456692913386
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.975
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.917579910763064
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0562780853401768
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.395223420647149
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.982894736842105
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.907802276781445
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0509394102894952
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.441095890410959
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.966352624495289
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.914034399608466
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0528596031911126
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.36767087787496
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.980587618048269
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.881021733061038
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0810708663145671
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.33502538071066
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.965246369911926
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.856617482289149
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0847295234117503
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.31836291198841
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.947244711412902
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.81065217116873
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0902461272558005
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.223938223938224
